graph_id,graph_label,variant,erase_loops,src,tgt,exposure_pct
geant,GÉANT,HS,False,KAU,BRU,72.500000
geant,GÉANT,HS,False,KAU,LUX,75.000000
geant,GÉANT,HS,False,KAU,TIR,81.500000
geant,GÉANT,HS,False,KAU,POZ,0.000000
geant,GÉANT,HS,False,KAU,AMS,63.400000
geant,GÉANT,HS,False,KAU,COR,84.800000
geant,GÉANT,HS,False,KAU,FRA,72.500000
geant,GÉANT,HS,False,KAU,MAD,78.300000
geant,GÉANT,HS,False,KAU,BUD,77.500000
geant,GÉANT,HS,False,KAU,SKO,81.500000
geant,GÉANT,HS,False,KAU,OSL,74.200000
geant,GÉANT,HS,False,RIG,PRA,76.800000
geant,GÉANT,HS,False,RIG,VIE,77.100000
geant,GÉANT,HS,False,RIG,BRA,80.600000
geant,GÉANT,HS,False,RIG,HEL,51.900000
geant,GÉANT,HS,False,RIG,STO,76.200000
geant,GÉANT,HS,False,RIG,KAU,0.000000
geant,GÉANT,HS,False,RIG,GEN,76.800000
geant,GÉANT,HS,False,RIG,MAR,78.800000
geant,GÉANT,HS,False,RIG,BIL,79.800000
geant,GÉANT,HS,False,RIG,PAR,77.600000
geant,GÉANT,HS,False,RIG,LJU,80.700000
geant,GÉANT,HS,False,RIG,ZAG,82.200000
geant,GÉANT,HS,False,RIG,BER,50.300000
geant,GÉANT,HS,False,RIG,HAM,50.300000
geant,GÉANT,HS,False,RIG,BUC,82.200000
geant,GÉANT,HS,False,RIG,SOF,83.400000
geant,GÉANT,HS,False,RIG,TAR,0.000000
geant,GÉANT,HS,False,RIG,LIS,84.800000
geant,GÉANT,HS,False,RIG,POR,84.800000
geant,GÉANT,HS,False,RIG,COP,50.300000
geant,GÉANT,HS,False,RIG,LON,76.800000
geant,GÉANT,HS,False,RIG,BEL,82.200000
geant,GÉANT,HS,False,RIG,DUB,83.700000
geant,GÉANT,HS,False,RIG,MIL,78.900000
geant,GÉANT,HS,False,RIG,BRU,76.800000
geant,GÉANT,HS,False,RIG,LUX,79.000000
geant,GÉANT,HS,False,RIG,TIR,80.700000
geant,GÉANT,HS,False,RIG,POZ,50.900000
geant,GÉANT,HS,False,RIG,AMS,66.900000
geant,GÉANT,HS,False,RIG,COR,84.100000
geant,GÉANT,HS,False,RIG,FRA,76.800000
geant,GÉANT,HS,False,RIG,MAD,82.500000
geant,GÉANT,HS,False,RIG,BUD,82.200000
geant,GÉANT,HS,False,RIG,SKO,83.400000
geant,GÉANT,HS,False,RIG,OSL,72.700000
geant,GÉANT,HS,False,GEN,PRA,46.700000
geant,GÉANT,HS,False,GEN,VIE,56.800000
geant,GÉANT,HS,False,GEN,BRA,65.600000
geant,GÉANT,HS,False,GEN,HEL,77.700000
geant,GÉANT,HS,False,GEN,STO,78.700000
geant,GÉANT,HS,False,GEN,KAU,76.200000
geant,GÉANT,HS,False,GEN,RIG,79.700000
geant,GÉANT,HS,False,GEN,MAR,0.000000
geant,GÉANT,HS,False,GEN,BIL,69.300000
geant,GÉANT,HS,False,GEN,PAR,0.000000
geant,GÉANT,HS,False,GEN,LJU,81.600000
geant,GÉANT,HS,False,GEN,ZAG,77.600000
geant,GÉANT,HS,False,GEN,BER,74.100000
geant,GÉANT,HS,False,GEN,HAM,66.700000
geant,GÉANT,HS,False,GEN,BUC,77.600000
geant,GÉANT,HS,False,GEN,SOF,83.700000
geant,GÉANT,HS,False,GEN,TAR,78.700000
geant,GÉANT,HS,False,GEN,LIS,73.400000
geant,GÉANT,HS,False,GEN,POR,71.700000
geant,GÉANT,HS,False,GEN,COP,74.100000
geant,GÉANT,HS,False,GEN,LON,58.800000
geant,GÉANT,HS,False,GEN,BEL,77.600000
geant,GÉANT,HS,False,GEN,DUB,78.600000
geant,GÉANT,HS,False,GEN,MIL,0.000000
geant,GÉANT,HS,False,GEN,BRU,48.200000
geant,GÉANT,HS,False,GEN,LUX,63.500000
geant,GÉANT,HS,False,GEN,TIR,83.700000
geant,GÉANT,HS,False,GEN,POZ,74.100000
geant,GÉANT,HS,False,GEN,AMS,44.900000
geant,GÉANT,HS,False,GEN,COR,86.800000
geant,GÉANT,HS,False,GEN,FRA,0.000000
geant,GÉANT,HS,False,GEN,MAD,59.300000
geant,GÉANT,HS,False,GEN,BUD,77.600000
geant,GÉANT,HS,False,GEN,SKO,83.700000
geant,GÉANT,HS,False,GEN,OSL,77.700000
geant,GÉANT,HS,False,MAR,PRA,49.500000
geant,GÉANT,HS,False,MAR,VIE,59.500000
geant,GÉANT,HS,False,MAR,BRA,69.300000
geant,GÉANT,HS,False,MAR,HEL,78.000000
geant,GÉANT,HS,False,MAR,STO,79.000000
geant,GÉANT,HS,False,MAR,KAU,75.600000
geant,GÉANT,HS,False,MAR,RIG,80.000000
geant,GÉANT,HS,False,MAR,GEN,0.000000
geant,GÉANT,HS,False,MAR,BIL,66.700000
geant,GÉANT,HS,False,MAR,PAR,46.500000
