source,target,r_min_hops,r_max_hops,r_mean_hops,r_q1_hops,r_q2_hops,r_q3_hops,r_min_hops_rev,r_max_hops_rev,r_mean_hops_rev,r_q1_hops_rev,r_q2_hops_rev,r_q3_hops_rev,nb_min_hops,nb_max_hops,nb_mean_hops,nb_q1_hops,nb_q2_hops,nb_q3_hops,nb_min_hops_rev,nb_max_hops_rev,nb_mean_hops_rev,nb_q1_hops_rev,nb_q2_hops_rev,nb_q3_hops_rev,lrv_min_hops,lrv_max_hops,lrv_mean_hops,lrv_q1_hops,lrv_q2_hops,lrv_q3_hops,lrv_min_hops_rev,lrv_max_hops_rev,lrv_mean_hops_rev,lrv_q1_hops_rev,lrv_q2_hops_rev,lrv_q3_hops_rev
HOU,SEA,2,59,5.926,2,4,8,2,66,7.076,2,4,9,2,29,4.568,2,4,5,2,33,5.202,3,4,7,2,14,5.33,3,4,8,2,14,5.358,3,4,8
HOU,PAO,2,48,5.907,2,3,7,2,63,7.048,2,4,9,2,23,4.646,2,3,6,2,32,5.167,3,5,6,2,14,5.3,3,5,7,2,14,5.333,3,5,7
HOU,SAN,1,58,3.905,1,1,5,1,70,4.962,1,1,6,1,34,4.007,1,1,6,1,40,4.591,1,4,6,1,17,4.641,1,4,8,1,13,4.945,1,5,8
HOU,SLC,2,46,6.485,2,4,8,2,51,7.042,2,5,9,2,29,4.889,2,4,6,2,24,5.253,3,5,7,2,10,5.264,3,6,7,2,10,5.153,3,5,7
HOU,PIT,2,45,5.431,2,3,7,2,58,5.751,2,3,7,2,32,4.181,2,3,5,2,38,4.292,2,3,5,2,14,4.684,2,4,7,2,14,4.676,2,4,6
HOU,PRI,2,41,5.817,2,4,7,2,68,6.905,2,5,9,2,27,4.586,2,4,5,2,35,5.084,3,4,6,2,15,5.176,3,5,7,2,14,5.41,3,5,8
HOU,ITH,2,42,5.919,2,4,8,2,62,6.776,2,4,8,2,27,4.566,2,4,5,2,31,5.129,3,4,6,2,15,5.186,3,5,7,2,14,5.46,3,5,8
HOU,LNK,2,69,6.415,2,4,8,2,89,8.391,2,6,11,2,28,4.862,2,4,6,2,40,5.785,2,5,8,2,14,5.567,2,5,8,2,14,5.686,2,5,8
ATL,SEA,3,71,10.736,5,8,14,3,73,10.468,4,7,14,3,66,7.938,3,7,10,3,37,7.352,3,6,9,3,17,7.906,5,8,11,3,17,7.319,4,7,10
ATL,PAO,3,79,10.978,5,8,14,3,70,10.585,4,8,14,3,53,8.115,4,6,10,3,50,7.438,4,6,9,3,16,7.958,5,8,11,3,17,7.578,4,7,10
ATL,SAN,2,83,9.968,2,7,14,2,73,9.258,2,6,13,2,68,7.828,4,6,10,2,50,6.995,2,6,9,2,18,7.768,5,7,11,2,18,7.264,4,7,10
ATL,CMI,2,107,10.046,2,7,14,2,78,9.083,2,6,12,2,44,7.269,4,6,10,2,51,6.546,2,5,9,2,16,7.022,4,7,10,2,16,6.849,4,7,10
ATL,SLC,3,71,10.749,5,8,14,3,59,9.726,5,8,12,3,42,7.522,4,6,9,3,49,6.765,4,5,8,3,18,7.109,5,7,9,3,15,6.665,4,6,8
ATL,HOU,1,65,5.461,1,1,7,1,73,3.666,1,1,4,1,60,4.686,1,1,6,1,35,3.247,1,1,5,1,19,4.072,1,1,6,1,17,3.61,1,1,6
